file,role,settings
wav/clap__lib__0022.wav,clap,decay_ms=313.8;bursts=4;burst_gap_ms=11.35;bandpass_lo=942.6;bandpass_hi=2852;tail_ms=79.46;seed=22
wav/clap__lib__0023.wav,clap,decay_ms=275.7;bursts=4;burst_gap_ms=12.25;bandpass_lo=561.6;bandpass_hi=1308;tail_ms=59.9;seed=23
wav/clap__lib__0024.wav,clap,decay_ms=113.5;bursts=3;burst_gap_ms=13.48;bandpass_lo=1391;bandpass_hi=4121;tail_ms=159.3;seed=24
wav/clap__lib__0025.wav,clap,decay_ms=178.5;bursts=4;burst_gap_ms=11.41;bandpass_lo=687.6;bandpass_hi=2307;tail_ms=36.89;seed=25
wav/clap__lib__0026.wav,clap,decay_ms=131.1;bursts=4;burst_gap_ms=13;bandpass_lo=1282;bandpass_hi=3865;tail_ms=88.51;seed=26
wav/clap__lib__0027.wav,clap,decay_ms=139.2;bursts=2;burst_gap_ms=7.217;bandpass_lo=748.6;bandpass_hi=2029;tail_ms=194.4;seed=27
wav/clap__lib__0028.wav,clap,decay_ms=83.63;bursts=1;burst_gap_ms=13.48;bandpass_lo=611;bandpass_hi=1444;tail_ms=260.1;seed=28
wav/clap__lib__0029.wav,clap,decay_ms=246.4;bursts=2;burst_gap_ms=8.981;bandpass_lo=1045;bandpass_hi=4463;tail_ms=61.83;seed=29
wav/clap__lib__0030.wav,clap,decay_ms=257.8;bursts=3;burst_gap_ms=10.08;bandpass_lo=667;bandpass_hi=2451;tail_ms=36.78;seed=30
wav/clap__lib__0031.wav,clap,decay_ms=147.1;bursts=5;burst_gap_ms=11.15;bandpass_lo=1130;bandpass_hi=4059;tail_ms=194.7;seed=31
wav/clap__lib__0032.wav,clap,decay_ms=130.7;bursts=1;burst_gap_ms=8.62;bandpass_lo=711.5;bandpass_hi=2712;tail_ms=258;seed=32
wav/clap__lib__0033.wav,clap,decay_ms=271.2;bursts=4;burst_gap_ms=13.03;bandpass_lo=662.4;bandpass_hi=3130;tail_ms=79.08;seed=33
wav/clap__lib__0034.wav,clap,decay_ms=93.05;bursts=5;burst_gap_ms=9.24;bandpass_lo=913.1;bandpass_hi=2754;tail_ms=97.84;seed=34
wav/clap__lib__0035.wav,clap,decay_ms=260.4;bursts=1;burst_gap_ms=15.22;bandpass_lo=836.4;bandpass_hi=2470;tail_ms=211.9;seed=35
wav/clap__lib__0036.wav,clap,decay_ms=131.8;bursts=4;burst_gap_ms=13.17;bandpass_lo=586.2;bandpass_hi=2231;tail_ms=46.46;seed=36
wav/clap__lib__0037.wav,clap,decay_ms=78.79;bursts=3;burst_gap_ms=12.1;bandpass_lo=676;bandpass_hi=3333;tail_ms=245.8;seed=37
wav/clap__lib__0038.wav,clap,decay_ms=123.5;bursts=1;burst_gap_ms=9.357;bandpass_lo=677.7;bandpass_hi=2511;tail_ms=84.88;seed=38
wav/clap__lib__0039.wav,clap,decay_ms=87.99;bursts=3;burst_gap_ms=11.37;bandpass_lo=503.6;bandpass_hi=2202;tail_ms=35.17;seed=39
wav/clap__lib__0040.wav,clap,decay_ms=164.2;bursts=2;burst_gap_ms=13.48;bandpass_lo=608.7;bandpass_hi=2971;tail_ms=208.7;seed=40
wav/perc__lib__0001.wav,perc,pitch_hz=407.1;decay_ms=193.6;noise_mix=0.3086;highpass_hz=2407;seed=1
wav/perc__lib__0002.wav,perc,pitch_hz=1624;decay_ms=210.8;noise_mix=0.196;highpass_hz=1935;seed=2
wav/perc__lib__0003.wav,perc,pitch_hz=1307;decay_ms=65.39;noise_mix=0.9001;highpass_hz=1170;seed=3
wav/perc__lib__0004.wav,perc,pitch_hz=1195;decay_ms=87.14;noise_mix=0.4524;highpass_hz=3912;seed=4
wav/perc__lib__0005.wav,perc,pitch_hz=1375;decay_ms=47.55;noise_mix=0.7615;highpass_hz=3242;seed=5
wav/perc__lib__0006.wav,perc,pitch_hz=899.1;decay_ms=36.47;noise_mix=0.8211;highpass_hz=3050;seed=6
wav/perc__lib__0007.wav,perc,pitch_hz=387.5;decay_ms=172;noise_mix=0.5932;highpass_hz=1748;seed=7
wav/perc__lib__0008.wav,perc,pitch_hz=1828;decay_ms=51.73;noise_mix=0.8973;highpass_hz=1881;seed=8
wav/perc__lib__0009.wav,perc,pitch_hz=992.4;decay_ms=70.19;noise_mix=0.5167;highpass_hz=3011;seed=9
wav/perc__lib__0010.wav,perc,pitch_hz=405.5;decay_ms=77.09;noise_mix=0.7105;highpass_hz=3198;seed=10
wav/perc__lib__0011.wav,perc,pitch_hz=453.7;decay_ms=42.58;noise_mix=0.3997;highpass_hz=1474;seed=11
wav/perc__lib__0012.wav,perc,pitch_hz=1625;decay_ms=70.61;noise_mix=0.3083;highpass_hz=1235;seed=12
wav/perc__lib__0013.wav,perc,pitch_hz=501.7;decay_ms=119.6;noise_mix=0.4431;highpass_hz=1084;seed=13
wav/perc__lib__0014.wav,perc,pitch_hz=835.6;decay_ms=40.08;noise_mix=0.0847;highpass_hz=1839;seed=14
wav/perc__lib__0015.wav,perc,pitch_hz=773.1;decay_ms=108.3;noise_mix=0.2339;highpass_hz=3867;seed=15
wav/perc__lib__0016.wav,perc,pitch_hz=2111;decay_ms=208.5;noise_mix=0.2998;highpass_hz=1150;seed=16
wav/perc__lib__0017.wav,perc,pitch_hz=1017;decay_ms=92.59;noise_mix=0.8886;highpass_hz=2300;seed=17
wav/perc__lib__0018.wav,perc,pitch_hz=574.2;decay_ms=97.76;noise_mix=0.4417;highpass_hz=2232;seed=18
wav/perc__lib__0019.wav,perc,pitch_hz=1227;decay_ms=50.47;noise_mix=0.4043;highpass_hz=2349;seed=19
wav/perc__lib__0020.wav,perc,pitch_hz=355.9;decay_ms=39.04;noise_mix=0.1378;highpass_hz=3652;seed=20
wav/perc__lib__0021.wav,perc,pitch_hz=1567;decay_ms=47.66;noise_mix=0.6035;highpass_hz=1927;seed=21
wav/perc__lib__0022.wav,perc,pitch_hz=499;decay_ms=44.39;noise_mix=0.4226;highpass_hz=3517;seed=22
wav/perc__lib__0023.wav,perc,pitch_hz=1198;decay_ms=38.91;noise_mix=0.5256;highpass_hz=3281;seed=23
wav/perc__lib__0024.wav,perc,pitch_hz=1280;decay_ms=82.46;noise_mix=0.2372;highpass_hz=1501;seed=24
wav/perc__lib__0025.wav,perc,pitch_hz=470.2;decay_ms=46.29;noise_mix=0.641;highpass_hz=3532;seed=25
wav/perc__lib__0026.wav,perc,pitch_hz=704.6;decay_ms=190.3;noise_mix=0.1008;highpass_hz=1040;seed=26
wav/perc__lib__0027.wav,perc,pitch_hz=563.5;decay_ms=124.7;noise_mix=0.1709;highpass_hz=3760;seed=27
wav/perc__lib__0028.wav,perc,pitch_hz=392;decay_ms=155.4;noise_mix=0.439;highpass_hz=1777;seed=28
wav/perc__lib__0029.wav,perc,pitch_hz=468;decay_ms=66.82;noise_mix=0.6824;highpass_hz=3163;seed=29
wav/perc__lib__0030.wav,perc,pitch_hz=398.6;decay_ms=42.41;noise_mix=0.9447;highpass_hz=2339;seed=30
wav/perc__lib__0031.wav,perc,pitch_hz=1160;decay_ms=166.3;noise_mix=0.5706;highpass_hz=3107;seed=31
wav/perc__lib__0032.wav,perc,pitch_hz=1283;decay_ms=132.4;noise_mix=0.189;highpass_hz=1340;seed=32
wav/perc__lib__0033.wav,perc,pitch_hz=1242;decay_ms=77.91;noise_mix=0.2278;highpass_hz=1993;seed=33
wav/perc__lib__0034.wav,perc,pitch_hz=1893;decay_ms=87.76;noise_mix=0.7578;highpass_hz=4127;seed=34
wav/perc__lib__0035.wav,perc,pitch_hz=401.8;decay_ms=139;noise_mix=0.6457;highpass_hz=1654;seed=35
wav/perc__lib__0036.wav,perc,pitch_hz=1058;decay_ms=181.6;noise_mix=0.8648;highpass_hz=1075;seed=36
wav/perc__lib__0037.wav,perc,pitch_hz=1586;decay_ms=56.65;noise_mix=0.8817;highpass_hz=3388;seed=37
wav/perc__lib__0038.wav,perc,pitch_hz=529.1;decay_ms=87.69;noise_mix=0.3778;highpass_hz=2258;seed=38
wav/perc__lib__0039.wav,perc,pitch_hz=1103;decay_ms=46.89;noise_mix=0.9138;highpass_hz=2424;seed=39
wav/perc__lib__0040.wav,perc,pitch_hz=564.3;decay_ms=71.22;noise_mix=0.5752;highpass_hz=1896;seed=40
wav/stab__lib__0001.wav,stab,freq_hz=83.61;wave=saw;detune_cents=8.935;voices=4;attack_ms=1.903;decay_ms=366;cutoff_hz=1306;drive=0.4449
wav/stab__lib__0002.wav,stab,freq_hz=86.14;wave=square;detune_cents=14.67;voices=4;attack_ms=10.35;decay_ms=348.5;cutoff_hz=816.9;drive=0.4953
wav/stab__lib__0003.wav,stab,freq_hz=168.2;wave=square;detune_cents=11.97;voices=1;attack_ms=11.05;decay_ms=236.5;cutoff_hz=4264;drive=0.2191
wav/stab__lib__0004.wav,stab,freq_hz=167;wave=saw;detune_cents=14.89;voices=5;attack_ms=3.878;decay_ms=141.5;cutoff_hz=819.3;drive=0.2456
wav/stab__lib__0005.wav,stab,freq_hz=57.07;wave=saw;detune_cents=5.771;voices=5;attack_ms=7.585;decay_ms=278.7;cutoff_hz=1796;drive=0.2542
wav/stab__lib__0006.wav,stab,freq_hz=103.8;wave=saw;detune_cents=7.572;voices=2;attack_ms=1.757;decay_ms=113.3;cutoff_hz=1423;drive=0.1185
wav/stab__lib__0007.wav,stab,freq_hz=160.2;wave=saw;detune_cents=11.95;voices=3;attack_ms=2.148;decay_ms=157.2;cutoff_hz=1449;drive=0.7712
wav/stab__lib__0008.wav,stab,freq_hz=140.5;wave=square;detune_cents=8.671;voices=4;attack_ms=4.009;decay_ms=135.1;cutoff_hz=3754;drive=0.6225
wav/stab__lib__0009.wav,stab,freq_hz=184.2;wave=saw;detune_cents=1.352;voices=4;attack_ms=1.606;decay_ms=513.8;cutoff_hz=1317;drive=0.8792
wav/stab__lib__0010.wav,stab,freq_hz=75.96;wave=square;detune_cents=21.31;voices=1;attack_ms=4.51;decay_ms=127;cutoff_hz=1027;drive=0.813
wav/stab__lib__0011.wav,stab,freq_hz=63.68;wave=saw;detune_cents=5.497;voices=2;attack_ms=6.752;decay_ms=197.9;cutoff_hz=1740;drive=0.2838
wav/stab__lib__0012.wav,stab,freq_hz=173.9;wave=saw;detune_cents=25.83;voices=1;attack_ms=9.108;decay_ms=101.2;cutoff_hz=1572;drive=0.4435
wav/stab__lib__0013.wav,stab,freq_hz=94.69;wave=saw;detune_cents=11.04;voices=1;attack_ms=10.1;decay_ms=190.5;cutoff_hz=2520;drive=0.5905
wav/stab__lib__0014.wav,stab,freq_hz=96.49;wave=square;detune_cents=1.74;voices=4;attack_ms=1.746;decay_ms=447.1;cutoff_hz=1631;drive=0.3212
wav/stab__lib__0015.wav,stab,freq_hz=229.9;wave=saw;detune_cents=8.622;voices=2;attack_ms=1.64;decay_ms=158.7;cutoff_hz=2057;drive=0.2027
wav/stab__lib__0016.wav,stab,freq_hz=157.6;wave=square;detune_cents=2.12;voices=4;attack_ms=3.607;decay_ms=109.1;cutoff_hz=3318;drive=0.3182
wav/stab__lib__0017.wav,stab,freq_hz=217.5;wave=saw;detune_cents=11.85;voices=4;attack_ms=4.126;decay_ms=230.5;cutoff_hz=2125;drive=0.3647
wav/stab__lib__0018.wav,stab,freq_hz=65.01;wave=saw;detune_cents=5.724;voices=5;attack_ms=3.727;decay_ms=225.8;cutoff_hz=1167;drive=0.37
wav/stab__lib__0019.wav,stab,freq_hz=66.73;wave=saw;detune_cents=20.75;voices=4;attack_ms=3.993;decay_ms=313.9;cutoff_hz=1274;drive=0.608
wav/stab__lib__0020.wav,stab,freq_hz=135.1;wave=saw;detune_cents=5.403;voices=5;attack_ms=12.29;decay_ms=260;cutoff_hz=1372;drive=0.9161
wav/stab__lib__0021.wav,stab,freq_hz=108.9;wave=square;detune_cents=3.041;voices=3;attack_ms=1.072;decay_ms=108.3;cutoff_hz=1998;drive=0.7221
wav/stab__lib__0022.wav,stab,freq_hz=65.11;wave=saw;detune_cents=1.884;voices=4;attack_ms=9.854;decay_ms=275.6;cutoff_hz=2321;drive=0.9038
wav/stab__lib__0023.wav,stab,freq_hz=64.84;wave=square;detune_cents=15.97;voices=4;attack_ms=5.838;decay_ms=169.5;cutoff_hz=3985;drive=0.2716
wav/stab__lib__0024.wav,stab,freq_hz=52.08;wave=square;detune_cents=23.85;voices=5;attack_ms=1.061;decay_ms=197.2;cutoff_hz=896.9;drive=0.371
wav/stab__lib__0025.wav,stab,freq_hz=189.2;wave=square;detune_cents=3.379;voices=1;attack_ms=1.383;decay_ms=101.9;cutoff_hz=1103;drive=0.295
wav/stab__lib__0026.wav,stab,freq_hz=58.32;wave=square;detune_cents=14.69;voices=1;attack_ms=7.193;decay_ms=346.7;cutoff_hz=1008;drive=0.5993
wav/stab__lib__0027.wav,stab,freq_hz=61.61;wave=square;detune_cents=29.3;voices=1;attack_ms=2.637;decay_ms=420.3;cutoff_hz=4428;drive=0.9108
wav/stab__lib__0028.wav,stab,freq_hz=89.09;wave=square;detune_cents=11.9;voices=1;attack_ms=12.9;decay_ms=90.02;cutoff_hz=1539;drive=0.7482
wav/stab__lib__0029.wav,stab,freq_hz=100.3;wave=saw;detune_cents=5.997;voices=5;attack_ms=7.172;decay_ms=269.3;cutoff_hz=941.1;drive=0.1342
wav/stab__lib__0030.wav,stab,freq_hz=203.2;wave=square;detune_cents=0.3357;voices=1;attack_ms=13.5;decay_ms=479.9;cutoff_hz=1409;drive=0.3021
wav/stab__lib__0031.wav,stab,freq_hz=79.3;wave=square;detune_cents=12.42;voices=4;attack_ms=6.285;decay_ms=103.5;cutoff_hz=1859;drive=0.3469
wav/stab__lib__0032.wav,stab,freq_hz=102.7;wave=saw;detune_cents=14.81;voices=1;attack_ms=5.972;decay_ms=100.8;cutoff_hz=1686;drive=0.4497
wav/stab__lib__0033.wav,stab,freq_hz=88.69;wave=saw;detune_cents=13.64;voices=3;attack_ms=3.176;decay_ms=120;cutoff_hz=2842;drive=0.9066
wav/stab__lib__0034.wav,stab,freq_hz=158;wave=saw;detune_cents=26.29;voices=4;attack_ms=1.154;decay_ms=386.1;cutoff_hz=1820;drive=0.6396
wav/stab__lib__0035.wav,stab,freq_hz=101.8;wave=square;detune_cents=3.066;voices=4;attack_ms=2.877;decay_ms=241.1;cutoff_hz=3574;drive=0.5005
wav/stab__lib__0036.wav,stab,freq_hz=100.7;wave=square;detune_cents=0.411;voices=2;attack_ms=12.79;decay_ms=515.9;cutoff_hz=1607;drive=0.8349
wav/stab__lib__0037.wav,stab,freq_hz=64.81;wave=square;detune_cents=14;voices=5;attack_ms=1.203;decay_ms=102;cutoff_hz=1449;drive=0.663
wav/stab__lib__0038.wav,stab,freq_hz=149.1;wave=saw;detune_cents=3.415;voices=3;attack_ms=3.302;decay_ms=282.3;cutoff_hz=1019;drive=0.4663
wav/stab__lib__0039.wav,stab,freq_hz=80.21;wave=saw;detune_cents=8.565;voices=2;attack_ms=10.96;decay_ms=331.7;cutoff_hz=920.2;drive=0.2664
wav/stab__lib__0040.wav,stab,freq_hz=107;wave=square;detune_cents=24.23;voices=3;attack_ms=2.752;decay_ms=330.3;cutoff_hz=3866;drive=0.2928
wav/pad__lib__0001.wav,pad,"freq_hz=41.24;attack_ms=676.9;length_ms=3929;lowpass_hz=515.2;harmonics=(1, 2, 4)"
wav/pad__lib__0002.wav,pad,"freq_hz=106.4;attack_ms=312.3;length_ms=2593;lowpass_hz=707.5;harmonics=(1, 3, 5, 7)"
wav/pad__lib__0003.wav,pad,"freq_hz=39.92;attack_ms=677.6;length_ms=3455;lowpass_hz=1717;harmonics=(1, 2, 3, 4, 5, 6)"
wav/pad__lib__0004.wav,pad,"freq_hz=116.3;attack_ms=701.3;length_ms=3817;lowpass_hz=548.5;harmonics=(1, 3, 5, 7)"
wav/pad__lib__0005.wav,pad,"freq_hz=99.31;attack_ms=244.7;length_ms=3903;lowpass_hz=1211;harmonics=(1, 2, 4)"
wav/pad__lib__0006.wav,pad,"freq_hz=61.18;attack_ms=588.4;length_ms=4588;lowpass_hz=1503;harmonics=(1, 3, 5, 7)"
wav/pad__lib__0007.wav,pad,"freq_hz=44.35;attack_ms=157.7;length_ms=3336;lowpass_hz=505.1;harmonics=(1, 2, 3, 4, 5, 6)"
wav/pad__lib__0008.wav,pad,"freq_hz=47.95;attack_ms=848.7;length_ms=4357;lowpass_hz=2483;harmonics=(1, 2, 4)"
wav/pad__lib__0009.wav,pad,"freq_hz=77.83;attack_ms=858.1;length_ms=4258;lowpass_hz=1155;harmonics=(1, 3, 5, 7)"
wav/pad__lib__0010.wav,pad,"freq_hz=42.06;attack_ms=445.1;length_ms=3264;lowpass_hz=578.6;harmonics=(1, 2, 4)"
wav/pad__lib__0011.wav,pad,"freq_hz=109.6;attack_ms=245.9;length_ms=3226;lowpass_hz=1796;harmonics=(1, 2, 3, 5)"
wav/pad__lib__0012.wav,pad,"freq_hz=46.37;attack_ms=453.4;length_ms=4072;lowpass_hz=540.4;harmonics=(1, 3, 5, 7)"
wav/pad__lib__0013.wav,pad,"freq_hz=48.79;attack_ms=545.6;length_ms=3908;lowpass_hz=1789;harmonics=(1, 2, 3, 5)"
wav/pad__lib__0014.wav,pad,"freq_hz=43.36;attack_ms=147.7;length_ms=4383;lowpass_hz=1554;harmonics=(1, 2, 3, 5)"
wav/pad__lib__0015.wav,pad,"freq_hz=114.7;attack_ms=875.7;length_ms=4192;lowpass_hz=1082;harmonics=(1, 3, 5, 7)"
wav/pad__lib__0016.wav,pad,"freq_hz=79.31;attack_ms=626.7;length_ms=2832;lowpass_hz=647.3;harmonics=(1, 2, 3, 4, 5, 6)"
wav/pad__lib__0017.wav,pad,"freq_hz=110.8;attack_ms=708.2;length_ms=4385;lowpass_hz=1278;harmonics=(1, 2, 3, 5)"
wav/pad__lib__0018.wav,pad,"freq_hz=60.47;attack_ms=613.9;length_ms=3487;lowpass_hz=2290;harmonics=(1, 3, 5, 7)"
wav/pad__lib__0019.wav,pad,"freq_hz=106.8;attack_ms=731.9;length_ms=3432;lowpass_hz=459.1;harmonics=(1, 2, 4)"
wav/pad__lib__0020.wav,pad,"freq_hz=43.44;attack_ms=665.2;length_ms=2044;lowpass_hz=1301;harmonics=(1, 2, 4)"
wav/pad__lib__0021.wav,pad,"freq_hz=97.47;attack_ms=175.2;length_ms=2520;lowpass_hz=1776;harmonics=(1, 2, 3, 4, 5, 6)"
wav/pad__lib__0022.wav,pad,"freq_hz=58.05;attack_ms=694.9;length_ms=2832;lowpass_hz=419.8;harmonics=(1, 2, 3, 4, 5, 6)"
wav/pad__lib__0023.wav,pad,"freq_hz=45.98;attack_ms=655.7;length_ms=3806;lowpass_hz=968.5;harmonics=(1, 2, 3, 5)"
wav/pad__lib__0024.wav,pad,"freq_hz=64.15;attack_ms=957.7;length_ms=2286;lowpass_hz=866.2;harmonics=(1, 2, 3, 4, 5, 6)"
wav/pad__lib__0025.wav,pad,"freq_hz=73.46;attack_ms=194.6;length_ms=3059;lowpass_hz=1049;harmonics=(1, 2, 3, 5)"
wav/pad__lib__0026.wav,pad,"freq_hz=66.7;attack_ms=206.9;length_ms=3713;lowpass_hz=455.5;harmonics=(1, 3, 5, 7)"
wav/pad__lib__0027.wav,pad,"freq_hz=113.8;attack_ms=170.3;length_ms=2695;lowpass_hz=392.6;harmonics=(1, 2, 3, 4, 5, 6)"
wav/pad__lib__0028.wav,pad,"freq_hz=97.62;attack_ms=672.6;length_ms=3092;lowpass_hz=1355;harmonics=(1, 2, 4)"
wav/pad__lib__0029.wav,pad,"freq_hz=62.94;attack_ms=273.7;length_ms=4198;lowpass_hz=1793;harmonics=(1, 2, 3, 5)"
wav/pad__lib__0030.wav,pad,"freq_hz=66.8;attack_ms=224;length_ms=3520;lowpass_hz=358.6;harmonics=(1, 2, 3, 4, 5, 6)"
wav/pad__lib__0031.wav,pad,"freq_hz=64.87;attack_ms=221.9;length_ms=3206;lowpass_hz=731.9;harmonics=(1, 2, 3, 4, 5, 6)"
wav/pad__lib__0032.wav,pad,"freq_hz=109.2;attack_ms=358.1;length_ms=2426;lowpass_hz=852.7;harmonics=(1, 2, 4)"
wav/pad__lib__0033.wav,pad,"freq_hz=70.83;attack_ms=467.8;length_ms=4506;lowpass_hz=2468;harmonics=(1, 3, 5, 7)"
wav/pad__lib__0034.wav,pad,"freq_hz=73.95;attack_ms=292.1;length_ms=3907;lowpass_hz=399.4;harmonics=(1, 3, 5, 7)"
wav/pad__lib__0035.wav,pad,"freq_hz=74.58;attack_ms=496;length_ms=2002;lowpass_hz=565.4;harmonics=(1, 2, 3, 5)"
wav/pad__lib__0036.wav,pad,"freq_hz=62.47;attack_ms=358.3;length_ms=3660;lowpass_hz=2057;harmonics=(1, 2, 3, 5)"
wav/pad__lib__0037.wav,pad,"freq_hz=89.3;attack_ms=278.3;length_ms=3832;lowpass_hz=560.9;harmonics=(1, 3, 5, 7)"
wav/pad__lib__0038.wav,pad,"freq_hz=62.2;attack_ms=274.1;length_ms=2635;lowpass_hz=1306;harmonics=(1, 3, 5, 7)"
wav/pad__lib__0039.wav,pad,"freq_hz=47.21;attack_ms=500.9;length_ms=2523;lowpass_hz=816.2;harmonics=(1, 2, 4)"
wav/pad__lib__0040.wav,pad,"freq_hz=78.12;attack_ms=361.2;length_ms=4981;lowpass_hz=387.6;harmonics=(1, 2, 3, 5)"
wav/riser__lib__0001.wav,riser,length_ms=6785;start_hz=108.7;end_hz=1348;noise_mix=0.9886;seed=1
wav/riser__lib__0002.wav,riser,length_ms=6988;start_hz=484.8;end_hz=8664;noise_mix=0.3159;seed=2
wav/riser__lib__0003.wav,riser,length_ms=3922;start_hz=131.1;end_hz=1534;noise_mix=0.4398;seed=3
wav/riser__lib__0004.wav,riser,length_ms=6997;start_hz=172.6;end_hz=3430;noise_mix=0.9195;seed=4
wav/riser__lib__0005.wav,riser,length_ms=3596;start_hz=170.8;end_hz=2337;noise_mix=0.8636;seed=5
wav/riser__lib__0006.wav,riser,length_ms=6119;start_hz=301.2;end_hz=4018;noise_mix=0.5522;seed=6
wav/riser__lib__0007.wav,riser,length_ms=2989;start_hz=151.6;end_hz=1332;noise_mix=0.5455;seed=7
wav/riser__lib__0008.wav,riser,length_ms=3611;start_hz=129.5;end_hz=6665;noise_mix=0.3794;seed=8
wav/riser__lib__0009.wav,riser,length_ms=7163;start_hz=173.5;end_hz=2261;noise_mix=0.3316;seed=9
wav/riser__lib__0010.wav,riser,length_ms=1933;start_hz=408.9;end_hz=6051;noise_mix=0.3712;seed=10
wav/riser__lib__0011.wav,riser,length_ms=6748;start_hz=85.19;end_hz=989.3;noise_mix=0.3328;seed=11
wav/riser__lib__0012.wav,riser,length_ms=2735;start_hz=116.8;end_hz=6565;noise_mix=0.6173;seed=12
wav/riser__lib__0013.wav,riser,length_ms=5381;start_hz=390.5;end_hz=4549;noise_mix=0.8576;seed=13
wav/riser__lib__0014.wav,riser,length_ms=6810;start_hz=83.3;end_hz=3755;noise_mix=0.6151;seed=14
wav/riser__lib__0015.wav,riser,length_ms=3726;start_hz=189.2;end_hz=7965;noise_mix=0.7779;seed=15
wav/riser__lib__0016.wav,riser,length_ms=3765;start_hz=290.7;end_hz=2337;noise_mix=0.3192;seed=16
wav/riser__lib__0017.wav,riser,length_ms=2928;start_hz=412.3;end_hz=9885;noise_mix=0.7139;seed=17
wav/riser__lib__0018.wav,riser,length_ms=7791;start_hz=83.06;end_hz=1319;noise_mix=0.924;seed=18
wav/riser__lib__0019.wav,riser,length_ms=1646;start_hz=310;end_hz=5367;noise_mix=0.9716;seed=19
wav/riser__lib__0020.wav,riser,length_ms=4221;start_hz=187.8;end_hz=7604;noise_mix=0.7998;seed=20
wav/riser__lib__0021.wav,riser,length_ms=1900;start_hz=192.7;end_hz=7419;noise_mix=0.981;seed=21
wav/riser__lib__0022.wav,riser,length_ms=5999;start_hz=129.9;end_hz=1817;noise_mix=0.5465;seed=22
wav/riser__lib__0023.wav,riser,length_ms=5213;start_hz=179.2;end_hz=1508;noise_mix=0.8983;seed=23
wav/riser__lib__0024.wav,riser,length_ms=3775;start_hz=434.8;end_hz=4665;noise_mix=0.8032;seed=24
wav/riser__lib__0025.wav,riser,length_ms=4048;start_hz=106.1;end_hz=5270;noise_mix=0.3404;seed=25
wav/riser__lib__0026.wav,riser,length_ms=4190;start_hz=87.9;end_hz=1272;noise_mix=0.8656;seed=26
wav/riser__lib__0027.wav,riser,length_ms=2776;start_hz=237.1;end_hz=7199;noise_mix=0.9095;seed=27
wav/riser__lib__0028.wav,riser,length_ms=2444;start_hz=215.8;end_hz=4130;noise_mix=0.8746;seed=28
wav/riser__lib__0029.wav,riser,length_ms=6630;start_hz=187.1;end_hz=1770;noise_mix=0.5348;seed=29
wav/riser__lib__0030.wav,riser,length_ms=5278;start_hz=234.4;end_hz=2585;noise_mix=0.4565;seed=30
wav/riser__lib__0031.wav,riser,length_ms=4966;start_hz=189.4;end_hz=1537;noise_mix=0.8799;seed=31
wav/riser__lib__0032.wav,riser,length_ms=7366;start_hz=94.86;end_hz=4293;noise_mix=0.4689;seed=32
wav/riser__lib__0033.wav,riser,length_ms=6656;start_hz=134;end_hz=6292;noise_mix=0.7179;seed=33
wav/riser__lib__0034.wav,riser,length_ms=3016;start_hz=284.6;end_hz=1.543e+04;noise_mix=0.5023;seed=34
wav/riser__lib__0035.wav,riser,length_ms=2718;start_hz=444.1;end_hz=2.088e+04;noise_mix=0.4378;seed=35
wav/riser__lib__0036.wav,riser,length_ms=3374;start_hz=169.9;end_hz=1684;noise_mix=0.4287;seed=36
wav/riser__lib__0037.wav,riser,length_ms=4062;start_hz=138;end_hz=5700;noise_mix=0.9918;seed=37
wav/riser__lib__0038.wav,riser,length_ms=5440;start_hz=89;end_hz=733.2;noise_mix=0.3539;seed=38
wav/riser__lib__0039.wav,riser,length_ms=3995;start_hz=282.3;end_hz=3986;noise_mix=0.7116;seed=39
wav/riser__lib__0040.wav,riser,length_ms=6283;start_hz=205.9;end_hz=6100;noise_mix=0.7448;seed=40
wav/impact__lib__0001.wav,impact,length_ms=807.4;boom_hz=42.79;noise_ms=32.8;reverb_ms=758.6;seed=1
wav/impact__lib__0002.wav,impact,length_ms=2269;boom_hz=52.1;noise_ms=82.17;reverb_ms=1046;seed=2
wav/impact__lib__0003.wav,impact,length_ms=753.5;boom_hz=37.02;noise_ms=159.3;reverb_ms=544.1;seed=3
wav/impact__lib__0004.wav,impact,length_ms=2136;boom_hz=40.97;noise_ms=49.39;reverb_ms=1274;seed=4
wav/impact__lib__0005.wav,impact,length_ms=2147;boom_hz=48.12;noise_ms=48;reverb_ms=806.3;seed=5
wav/impact__lib__0006.wav,impact,length_ms=721.7;boom_hz=45.13;noise_ms=112.3;reverb_ms=2159;seed=6
wav/impact__lib__0007.wav,impact,length_ms=1518;boom_hz=62.94;noise_ms=51.24;reverb_ms=1216;seed=7
wav/impact__lib__0008.wav,impact,length_ms=1690;boom_hz=34.46;noise_ms=110.8;reverb_ms=687.2;seed=8
wav/impact__lib__0009.wav,impact,length_ms=742.2;boom_hz=42.16;noise_ms=138.1;reverb_ms=1277;seed=9
wav/impact__lib__0010.wav,impact,length_ms=2327;boom_hz=63.28;noise_ms=79.83;reverb_ms=2105;seed=10
wav/impact__lib__0011.wav,impact,length_ms=2084;boom_hz=52.33;noise_ms=142.9;reverb_ms=1760;seed=11
wav/impact__lib__0012.wav,impact,length_ms=1907;boom_hz=47.22;noise_ms=159;reverb_ms=723.4;seed=12
wav/impact__lib__0013.wav,impact,length_ms=2113;boom_hz=34.38;noise_ms=89.33;reverb_ms=893.6;seed=13
